timestamp,value
2024-03-19 00:00:00,132
2024-03-20 00:00:00,123
2024-03-21 00:00:00,159
2024-03-22 00:00:00,163
2024-03-23 00:00:00,154
2024-03-24 00:00:00,161
2024-03-25 00:00:00,163
2024-03-26 00:00:00,138
2024-03-27 00:00:00,113
2024-03-28 00:00:00,98
2024-03-29 00:00:00,79
2024-03-30 00:00:00,51
2024-03-31 00:00:00,63
2024-04-01 00:00:00,31
2024-04-02 00:00:00,36
2024-04-03 00:00:00,37
2024-04-04 00:00:00,49
2024-04-05 00:00:00,78
2024-04-06 00:00:00,80
2024-04-07 00:00:00,83
2024-04-08 00:00:00,78
2024-04-09 00:00:00,56
2024-04-10 00:00:00,56
2024-04-11 00:00:00,91
2024-04-12 00:00:00,87
2024-04-13 00:00:00,121
2024-04-14 00:00:00,150
2024-04-15 00:00:00,171
2024-04-16 00:00:00,185
2024-04-17 00:00:00,211
2024-04-18 00:00:00,224
2024-04-19 00:00:00,242
2024-04-20 00:00:00,232
2024-04-21 00:00:00,233
2024-04-22 00:00:00,266
2024-04-23 00:00:00,268
2024-04-24 00:00:00,251
2024-04-25 00:00:00,211
2024-04-26 00:00:00,142
2024-04-27 00:00:00,138
2024-04-28 00:00:00,117
2024-04-29 00:00:00,99
2024-04-30 00:00:00,86
2024-05-01 00:00:00,119
2024-05-02 00:00:00,144
2024-05-03 00:00:00,160
2024-05-04 00:00:00,186
2024-05-05 00:00:00,185
2024-05-06 00:00:00,205
2024-05-07 00:00:00,192
2024-05-08 00:00:00,171
2024-05-09 00:00:00,181
2024-05-10 00:00:00,172
2024-05-11 00:00:00,173
2024-05-12 00:00:00,199
2024-05-13 00:00:00,244
2024-05-14 00:00:00,203
2024-05-15 00:00:00,208
2024-05-16 00:00:00,213
2024-05-17 00:00:00,203
2024-05-18 00:00:00,180
2024-05-19 00:00:00,181
2024-05-20 00:00:00,155
2024-05-21 00:00:00,177
2024-05-22 00:00:00,165
2024-05-23 00:00:00,143
2024-05-24 00:00:00,142
2024-05-25 00:00:00,112
2024-05-26 00:00:00,130
2024-05-27 00:00:00,144
2024-05-28 00:00:00,164
2024-05-29 00:00:00,169
2024-05-30 00:00:00,159
2024-05-31 00:00:00,156
2024-06-01 00:00:00,178
2024-06-02 00:00:00,205
2024-06-03 00:00:00,213
2024-06-04 00:00:00,213
2024-06-05 00:00:00,181
2024-06-06 00:00:00,158
2024-06-07 00:00:00,163
2024-06-08 00:00:00,173
2024-06-09 00:00:00,154
2024-06-10 00:00:00,124
2024-06-11 00:00:00,106
2024-06-12 00:00:00,124
2024-06-13 00:00:00,151
2024-06-14 00:00:00,158
2024-06-15 00:00:00,148
2024-06-16 00:00:00,151
2024-06-17 00:00:00,140
2024-06-18 00:00:00,133
2024-06-19 00:00:00,151
2024-06-20 00:00:00,165
2024-06-21 00:00:00,150
2024-06-22 00:00:00,159
2024-06-23 00:00:00,163
2024-06-24 00:00:00,153
2024-06-25 00:00:00,146
2024-06-26 00:00:00,179
2024-06-27 00:00:00,174
2024-06-28 00:00:00,179
2024-06-29 00:00:00,219
2024-06-30 00:00:00,212
2024-07-01 00:00:00,198
2024-07-02 00:00:00,197
2024-07-03 00:00:00,178
2024-07-04 00:00:00,138
2024-07-05 00:00:00,138
2024-07-06 00:00:00,128
2024-07-07 00:00:00,121
2024-07-08 00:00:00,111
2024-07-09 00:00:00,143
2024-07-10 00:00:00,183
2024-07-11 00:00:00,172
2024-07-12 00:00:00,162
2024-07-13 00:00:00,176
2024-07-14 00:00:00,211
2024-07-15 00:00:00,242
2024-07-16 00:00:00,286
2024-07-17 00:00:00,284
2024-07-18 00:00:00,290
2024-07-19 00:00:00,274
2024-07-20 00:00:00,228
2024-07-21 00:00:00,219
2024-07-22 00:00:00,172
2024-07-23 00:00:00,173
2024-07-24 00:00:00,173
2024-07-25 00:00:00,180
2024-07-26 00:00:00,198
2024-07-27 00:00:00,210
2024-07-28 00:00:00,202
2024-07-29 00:00:00,213
2024-07-30 00:00:00,231
2024-07-31 00:00:00,270
2024-08-01 00:00:00,259
2024-08-02 00:00:00,241
2024-08-03 00:00:00,231
2024-08-04 00:00:00,231
2024-08-05 00:00:00,214
2024-08-06 00:00:00,240
2024-08-07 00:00:00,275
2024-08-08 00:00:00,285
2024-08-09 00:00:00,264
2024-08-10 00:00:00,250
2024-08-11 00:00:00,245
2024-08-12 00:00:00,230
2024-08-13 00:00:00,209
2024-08-14 00:00:00,178
2024-08-15 00:00:00,157
2024-08-16 00:00:00,199
2024-08-17 00:00:00,198
2024-08-18 00:00:00,202
2024-08-19 00:00:00,225
2024-08-20 00:00:00,217
2024-08-21 00:00:00,210
2024-08-22 00:00:00,213
2024-08-23 00:00:00,214
2024-08-24 00:00:00,223
2024-08-25 00:00:00,204
2024-08-26 00:00:00,220
2024-08-27 00:00:00,182
2024-08-28 00:00:00,189
2024-08-29 00:00:00,153
2024-08-30 00:00:00,158
2024-08-31 00:00:00,181
2024-09-01 00:00:00,170
2024-09-02 00:00:00,182
2024-09-03 00:00:00,171
2024-09-04 00:00:00,169
2024-09-05 00:00:00,170
2024-09-06 00:00:00,177
2024-09-07 00:00:00,168
2024-09-08 00:00:00,156
2024-09-09 00:00:00,152
2024-09-10 00:00:00,141
2024-09-11 00:00:00,147
2024-09-12 00:00:00,132
2024-09-13 00:00:00,109
2024-09-14 00:00:00,107
2024-09-15 00:00:00,95
2024-09-16 00:00:00,132
2024-09-17 00:00:00,132
2024-09-18 00:00:00,102
2024-09-19 00:00:00,105
2024-09-20 00:00:00,117
2024-09-21 00:00:00,122
2024-09-22 00:00:00,129
2024-09-23 00:00:00,123
2024-09-24 00:00:00,134
2024-09-25 00:00:00,129
2024-09-26 00:00:00,136
2024-09-27 00:00:00,154
2024-09-28 00:00:00,154
2024-09-29 00:00:00,149
2024-09-30 00:00:00,169
2024-10-01 00:00:00,213
2024-10-02 00:00:00,211
2024-10-03 00:00:00,207
2024-10-04 00:00:00,210
2024-10-05 00:00:00,182
2024-10-06 00:00:00,170
2024-10-07 00:00:00,163
2024-10-08 00:00:00,140
2024-10-09 00:00:00,142
2024-10-10 00:00:00,141
2024-10-11 00:00:00,136
2024-10-12 00:00:00,125
2024-10-13 00:00:00,137
2024-10-14 00:00:00,136
2024-10-15 00:00:00,109
2024-10-16 00:00:00,119
2024-10-17 00:00:00,143
2024-10-18 00:00:00,138
2024-10-19 00:00:00,132
2024-10-20 00:00:00,134
2024-10-21 00:00:00,162
2024-10-22 00:00:00,117
2024-10-23 00:00:00,120
2024-10-24 00:00:00,135
2024-10-25 00:00:00,180
2024-10-26 00:00:00,217
2024-10-27 00:00:00,241
2024-10-28 00:00:00,244
2024-10-29 00:00:00,221
2024-10-30 00:00:00,205
2024-10-31 00:00:00,209
2024-11-01 00:00:00,223
2024-11-02 00:00:00,211
2024-11-03 00:00:00,207
2024-11-04 00:00:00,191
2024-11-05 00:00:00,207
2024-11-06 00:00:00,207
2024-11-07 00:00:00,210
2024-11-08 00:00:00,189
2024-11-09 00:00:00,164
2024-11-10 00:00:00,160
2024-11-11 00:00:00,151
2024-11-12 00:00:00,117
2024-11-13 00:00:00,111
2024-11-14 00:00:00,91
2024-11-15 00:00:00,71
2024-11-16 00:00:00,73
2024-11-17 00:00:00,96
2024-11-18 00:00:00,115
2024-11-19 00:00:00,124
2024-11-20 00:00:00,123
2024-11-21 00:00:00,118
2024-11-22 00:00:00,146
2024-11-23 00:00:00,152
2024-11-24 00:00:00,172
2024-11-25 00:00:00,171
2024-11-26 00:00:00,159
2024-11-27 00:00:00,205
2024-11-28 00:00:00,172
2024-11-29 00:00:00,163
2024-11-30 00:00:00,124
2024-12-01 00:00:00,124
2024-12-02 00:00:00,133
2024-12-03 00:00:00,122
2024-12-04 00:00:00,123
2024-12-05 00:00:00,120
2024-12-06 00:00:00,105
2024-12-07 00:00:00,133
2024-12-08 00:00:00,140
2024-12-09 00:00:00,115
2024-12-10 00:00:00,135
2024-12-11 00:00:00,108
2024-12-12 00:00:00,106
2024-12-13 00:00:00,112
2024-12-14 00:00:00,99
2024-12-15 00:00:00,103
2024-12-16 00:00:00,99
2024-12-17 00:00:00,90
2024-12-18 00:00:00,113
2024-12-19 00:00:00,128
2024-12-20 00:00:00,149
2024-12-21 00:00:00,164
2024-12-22 00:00:00,183
2024-12-23 00:00:00,224
2024-12-24 00:00:00,223
2024-12-25 00:00:00,241
2024-12-26 00:00:00,255
2024-12-27 00:00:00,257
2024-12-28 00:00:00,254
2024-12-29 00:00:00,233
2024-12-30 00:00:00,218
2024-12-31 00:00:00,183
2025-01-01 00:00:00,201
2025-01-02 00:00:00,184
2025-01-03 00:00:00,199
2025-01-04 00:00:00,213
2025-01-05 00:00:00,196
2025-01-06 00:00:00,171
2025-01-07 00:00:00,136
2025-01-08 00:00:00,119
2025-01-09 00:00:00,162
2025-01-10 00:00:00,128
2025-01-11 00:00:00,109
2025-01-12 00:00:00,111
2025-01-13 00:00:00,90
2025-01-14 00:00:00,78
2025-01-15 00:00:00,79
2025-01-16 00:00:00,128
2025-01-17 00:00:00,151
2025-01-18 00:00:00,144
2025-01-19 00:00:00,148
2025-01-20 00:00:00,180
2025-01-21 00:00:00,169
2025-01-22 00:00:00,151
2025-01-23 00:00:00,174
2025-01-24 00:00:00,137
2025-01-25 00:00:00,119
2025-01-26 00:00:00,107
2025-01-27 00:00:00,54
2025-01-28 00:00:00,75
2025-01-29 00:00:00,82
2025-01-30 00:00:00,106
2025-01-31 00:00:00,146
2025-02-01 00:00:00,158
2025-02-02 00:00:00,189
2025-02-03 00:00:00,188
2025-02-04 00:00:00,176
2025-02-05 00:00:00,164
2025-02-06 00:00:00,186
2025-02-07 00:00:00,161
2025-02-08 00:00:00,134
2025-02-09 00:00:00,127
2025-02-10 00:00:00,109
2025-02-11 00:00:00,94
2025-02-12 00:00:00,104
2025-02-13 00:00:00,117
2025-02-14 00:00:00,161
2025-02-15 00:00:00,172
2025-02-16 00:00:00,206
2025-02-17 00:00:00,204
2025-02-18 00:00:00,174
2025-02-19 00:00:00,133
2025-02-20 00:00:00,140
2025-02-21 00:00:00,166
2025-02-22 00:00:00,178
2025-02-23 00:00:00,187
2025-02-24 00:00:00,164
2025-02-25 00:00:00,166
2025-02-26 00:00:00,124
2025-02-27 00:00:00,130
2025-02-28 00:00:00,117
2025-03-01 00:00:00,116
2025-03-02 00:00:00,147
2025-03-03 00:00:00,123
2025-03-04 00:00:00,154
2025-03-05 00:00:00,143
2025-03-06 00:00:00,129
2025-03-07 00:00:00,106
2025-03-08 00:00:00,91
2025-03-09 00:00:00,101
2025-03-10 00:00:00,108
2025-03-11 00:00:00,144
2025-03-12 00:00:00,157
2025-03-13 00:00:00,172
2025-03-14 00:00:00,182
2025-03-15 00:00:00,179
2025-03-16 00:00:00,207
2025-03-17 00:00:00,204
2025-03-18 00:00:00,194
2025-03-19 00:00:00,165
2025-03-20 00:00:00,162
2025-03-21 00:00:00,149
2025-03-22 00:00:00,176
2025-03-23 00:00:00,129
2025-03-24 00:00:00,79
2025-03-25 00:00:00,77
2025-03-26 00:00:00,46
2025-03-27 00:00:00,84
2025-03-28 00:00:00,78
2025-03-29 00:00:00,91
2025-03-30 00:00:00,124
2025-03-31 00:00:00,142
2025-04-01 00:00:00,159
2025-04-02 00:00:00,149
2025-04-03 00:00:00,165
2025-04-04 00:00:00,192
2025-04-05 00:00:00,188
2025-04-06 00:00:00,179
2025-04-07 00:00:00,161
2025-04-08 00:00:00,147
2025-04-09 00:00:00,140
2025-04-10 00:00:00,139
2025-04-11 00:00:00,131
2025-04-12 00:00:00,122
2025-04-13 00:00:00,106
2025-04-14 00:00:00,87
2025-04-15 00:00:00,75
2025-04-16 00:00:00,90
2025-04-17 00:00:00,109
2025-04-18 00:00:00,117
2025-04-19 00:00:00,116
2025-04-20 00:00:00,133
2025-04-21 00:00:00,141
2025-04-22 00:00:00,186
2025-04-23 00:00:00,164
2025-04-24 00:00:00,201
2025-04-25 00:00:00,198
2025-04-26 00:00:00,173
2025-04-27 00:00:00,132
2025-04-28 00:00:00,121
2025-04-29 00:00:00,110
2025-04-30 00:00:00,88
2025-05-01 00:00:00,63
2025-05-02 00:00:00,42
2025-05-03 00:00:00,58
2025-05-04 00:00:00,76
2025-05-05 00:00:00,94
2025-05-06 00:00:00,89
2025-05-07 00:00:00,75
2025-05-08 00:00:00,81
2025-05-09 00:00:00,73
2025-05-10 00:00:00,71
2025-05-11 00:00:00,66
2025-05-12 00:00:00,60
2025-05-13 00:00:00,58
2025-05-14 00:00:00,47
2025-05-15 00:00:00,41
2025-05-16 00:00:00,59
2025-05-17 00:00:00,51
2025-05-18 00:00:00,55
2025-05-19 00:00:00,65
2025-05-20 00:00:00,74
2025-05-21 00:00:00,91
2025-05-22 00:00:00,98
2025-05-23 00:00:00,117
2025-05-24 00:00:00,99
2025-05-25 00:00:00,97
2025-05-26 00:00:00,111
2025-05-27 00:00:00,104
2025-05-28 00:00:00,108
2025-05-29 00:00:00,100
2025-05-30 00:00:00,117
2025-05-31 00:00:00,115
